osmid,latitude,longitude
1667182669,-21.1494418,-47.8366845
1667184767,-21.1458597,-47.8344774
1667184771,-21.1462661,-47.8357639
1667184773,-21.1459709,-47.8351053
1667184787,-21.1470402,-47.833653
1667184793,-21.1480561,-47.8361837
1667184797,-21.1470953,-47.8337359
1667184800,-21.1457623,-47.8338387
1667184802,-21.1477076,-47.8355588
1667184812,-21.1473745,-47.834308
1667184816,-21.1474219,-47.8350574
1667205932,-21.1888852,-47.8359032
1667205933,-21.1988815,-47.8371093
1667205937,-21.199223,-47.8372696
1667205938,-21.1997473,-47.8396259
1667205940,-21.1993515,-47.837326
1667205942,-21.199678,-47.837519
1667205944,-21.1888237,-47.8360229
1667205955,-21.1977437,-47.8396655
1667205959,-21.1951454,-47.8426105
1667205961,-21.1989395,-47.8379231
1667205964,-21.1973161,-47.8401322
1667205966,-21.1930848,-47.8449492
1667205968,-21.2001256,-47.8385754
1667205969,-21.1951837,-47.8391132
1667205971,-21.1980232,-47.838744
1667205972,-21.1990028,-47.8400667
1667205974,-21.1996397,-47.8397381
1667205977,-21.1991235,-47.8392024
1667205991,-21.1951254,-47.8392256
1667205999,-21.1945065,-47.8387842
1667206010,-21.1980201,-47.8386481
1667206012,-21.1973569,-47.8387763
1667206025,-21.1990859,-47.8380031
1667206033,-21.1992192,-47.8391062
1667206035,-21.1973769,-47.8388619
1667206048,-21.1923213,-47.84591
1667207839,-21.2011229,-47.8381985
1667207842,-21.1951304,-47.844815
1667207844,-21.1983464,-47.8411407
1667207846,-21.1932064,-47.8470938
1667207847,-21.197186,-47.8424711
1667207850,-21.1967359,-47.836023
1667207852,-21.1974073,-47.8363385
1667209701,-21.2010854,-47.8328933
1667209703,-21.2051591,-47.8450199
1667209708,-21.2012087,-47.8329553
1667233016,-21.1397066,-47.8390517
1667233030,-21.13969,-47.8416326
1667233037,-21.1401495,-47.8372786
1667233044,-21.1408164,-47.8386894
1667233070,-21.1401137,-47.8420046
1667233074,-21.1405593,-47.8388616
1667233083,-21.1401575,-47.8388368
1667233088,-21.1397784,-47.8426253
1667233124,-21.1412715,-47.8432181
1667233129,-21.1406586,-47.8421491
1667233144,-21.1402362,-47.8419614
1667233147,-21.1414605,-47.8432347
1667233149,-21.1404049,-47.8414623
1667233156,-21.1402795,-47.8388998
1667233158,-21.1403358,-47.8413438
1667237522,-21.1351416,-47.8460983
1667237524,-21.1359414,-47.8461148
1667237536,-21.138724,-47.8441675
1667237542,-21.1358195,-47.8462886
1667237547,-21.1349853,-47.8467511
1667237568,-21.1351462,-47.8467081
1667237571,-21.1359114,-47.8472602
1667237575,-21.1357468,-47.8466532
1667237576,-21.135578,-47.8467872
1667237578,-21.1353362,-47.8459792
1667237583,-21.1357255,-47.8461046
1667237586,-21.1350696,-47.8465842
1667237596,-21.1358474,-47.8469032
1667242045,-21.1635411,-47.8509725
1667242070,-21.1634611,-47.8505647
1667244438,-21.1639043,-47.8519487
1671663789,-21.1923496,-47.8434687
1671663791,-21.1869277,-47.8407331
1671663792,-21.1944853,-47.8421439
1671663798,-21.1968892,-47.8406075
1671663799,-21.1957357,-47.8394188
1671663801,-21.1953895,-47.8401879
1671663803,-21.1936,-47.8441338
1671663805,-21.1937386,-47.8442071
1671663806,-21.1895437,-47.842042
1671663807,-21.1966557,-47.8419669
1671667473,-21.1960242,-47.8351889
1671667477,-21.1961623,-47.8414373
1671667480,-21.189584,-47.8342599
1671667485,-21.1950919,-47.8408319
1671667489,-21.1885164,-47.8366436
1671667492,-21.1946103,-47.8442894
1671667495,-21.1882232,-47.8373052
1671667496,-21.1963215,-47.8375149
1671667497,-21.1917003,-47.8352833
1671667501,-21.1927508,-47.8464832
1671667503,-21.1956496,-47.8360999
1671667506,-21.1964944,-47.836513
1671667509,-21.1896237,-47.8380294
1671667511,-21.1924196,-47.8394671
1671669028,-21.1902406,-47.8444507
1671669029,-21.1941171,-47.8395318
1671669030,-21.1912206,-47.8447013
1671669031,-21.1948289,-47.8398988
1671669033,-21.1945303,-47.8405451
1671669035,-21.1952593,-47.8370134
1671669037,-21.1938151,-47.8401798
1671669039,-21.1944516,-47.8388938
1671669040,-21.1871247,-47.8435603
1671669041,-21.1959748,-47.8373488
1671669043,-21.1960532,-47.8389358
1671669044,-21.1963656,-47.8364509
1671672587,-21.1907441,-47.8393973
1671672588,-21.1921278,-47.840114
1671672589,-21.1879256,-47.8379732
1671672590,-21.1957119,-47.8419569
1671672591,-21.1947928,-47.8414788
1671672593,-21.1935123,-47.8408592
1671686229,-21.1898313,-47.8413983
1671686232,-21.1926422,-47.842812
1671686234,-21.198248,-47.8479571
1671686238,-21.1956455,-47.843114
1671686240,-21.2017655,-47.8492278
1671686242,-21.190419,-47.8400733
1671686243,-21.2028049,-47.8502694
1671686245,-21.1868727,-47.8398855
1671686247,-21.2027809,-47.8480641
1671686250,-21.1997166,-47.8515743
1671686251,-21.2032428,-47.8529472
1671686252,-21.1981565,-47.8478713
1671686253,-21.1938875,-47.8434876
1671686254,-21.1940958,-47.8438018
1671686255,-21.204026,-47.8520557
1671686257,-21.1865276,-47.8394778
1671686259,-21.197987,-47.8535378
1671686261,-21.20266,-47.8431427
1671686263,-21.196144,-47.845811
1671686265,-21.1862234,-47.8389001
1671686271,-21.1876304,-47.8386358
1671686272,-21.2029134,-47.8503855
1671686273,-21.1981696,-47.8456394
1671686274,-21.2028437,-47.8480618
1671686277,-21.2043415,-47.854056
1671686278,-21.2028774,-47.8490101
1671686279,-21.1932258,-47.8415022
1671686288,-21.1961607,-47.8436402
1671686291,-21.201247,-47.8509145
1671686293,-21.2022873,-47.8497397
1671686294,-21.2007619,-47.848243
1671686295,-21.2007419,-47.8503941
1671814402,-21.1946173,-47.8487121
1671814408,-21.205281,-47.859463
1671814410,-21.2048139,-47.8606651
1671814422,-21.2043793,-47.8613271
1671814427,-21.2049974,-47.8593029
1671814442,-21.2053856,-47.8593155
1671814455,-21.1885935,-47.8441717
1671814458,-21.1952818,-47.8501566
1671814463,-21.2013455,-47.8441502
1671814466,-21.1957467,-47.850223
1671814467,-21.1958617,-47.851061
1671814479,-21.1959088,-47.8502552
1671814490,-21.2046803,-47.8611844
1671814499,-21.194371,-47.8489623
1671814506,-21.2028605,-47.866072
1671814507,-21.1991748,-47.8466968
1671814508,-21.2046101,-47.861335
1671814509,-21.2012178,-47.857639
1671814510,-21.2026089,-47.842748
1671814515,-21.1967085,-47.851801
1671814517,-21.1954356,-47.8503982
1671814520,-21.1944326,-47.8485104
1671814531,-21.1961094,-47.8508472
1671814541,-21.2049658,-47.8603548
1671814546,-21.1931388,-47.8473013
1671814549,-21.1960865,-47.8501617
1671814552,-21.2051236,-47.8598529
1671814555,-21.2046627,-47.8610979
1671814561,-21.2045168,-47.8609879
1671814563,-21.2051661,-47.8593906
1671814566,-21.1952951,-47.8493713
1671814571,-21.1961676,-47.8513123
1671817908,-21.1972386,-47.8491274
1671817911,-21.1971812,-47.8512359
1671817912,-21.198676,-47.852752
1671817914,-21.1992753,-47.8468041
1671817917,-21.1962057,-47.8502588
1671817932,-21.196487,-47.851744
1671817934,-21.196103,-47.8504392
1671817965,-21.2022529,-47.8563574
1671817966,-21.2014471,-47.8442522
1671819017,-21.2027454,-47.8426293
1671820457,-21.2011848,-47.8552838
1671820461,-21.2001624,-47.8564544
1671820464,-21.2028762,-47.8432678
1671820467,-21.2041156,-47.8519521
1671822130,-21.2062304,-47.8406976
1671822133,-21.2036267,-47.8514085
1671822134,-21.2045864,-47.8444613
1671824367,-21.1970311,-47.8353679
1671824369,-21.2037679,-47.8387022
1671824371,-21.2031928,-47.8399599
1671824373,-21.1976911,-47.8356799
1671824374,-21.2037426,-47.8402824
1671824375,-21.1996328,-47.8366434
1671824377,-21.2014319,-47.8375565
1671824381,-21.199509,-47.8365779
1671824382,-21.1967028,-47.8354581
1671824384,-21.2079238,-47.8368035
1671824385,-21.2043146,-47.8389622
1671824387,-21.1932098,-47.8338168
1671824388,-21.204038,-47.8396274
1671862758,-21.2043702,-47.848315
1671862759,-21.2029445,-47.8455498
1671862762,-21.2079063,-47.8521278
1671862763,-21.2033027,-47.8459471
1671862767,-21.2069034,-47.8506289
1671862769,-21.2069534,-47.8508864
1671862770,-21.2029621,-47.84629
1671862771,-21.2029803,-47.8477236
1671862773,-21.2075426,-47.8521189
1671862774,-21.2042353,-47.848911
1671862775,-21.2045419,-47.8446036
1671862778,-21.2061004,-47.8493169
1671862779,-21.2063833,-47.8497133
